,distrito,ano,quarter,precio
540,San Blas,2014,4,9.22951234774211
541,Tetuan,2014,4,11.2884553142549
542,Usera,2014,4,8.42120628066054
543,Vicálvaro,2014,4,8.30906427216446
544,Villa De Vallecas,2014,4,8.70177281697652
545,Villaverde,2014,4,7.78171844700427
546,Arganzuela,2015,1,11.1727425245243
547,Barajas,2015,1,10.0420844598726
548,Carabanchel,2015,1,8.35509954914274
549,Centro,2015,1,13.8403507741421
550,Chamartín,2015,1,12.5641646686427
551,Chamberí,2015,1,13.5771548589031
552,Ciudad Lineal,2015,1,10.4443081511704
553,Fuencarral,2015,1,10.2719745636318
554,Hortaleza,2015,1,10.6935546019871
555,Latina,2015,1,8.60871202228652
556,Moncloa,2015,1,12.0315081635429
557,Moratalaz,2015,1,8.7540684907609
558,Puente De Vallecas,2015,1,8.25279064309696
559,Retiro,2015,1,12.2008461434193
560,Salamanca,2015,1,13.7327624547983
561,San Blas,2015,1,9.42622102844482
562,Tetuan,2015,1,11.4435456823717
563,Usera,2015,1,8.66836661502099
564,Vicálvaro,2015,1,8.40312561916058
565,Villa De Vallecas,2015,1,8.62954391031269
566,Villaverde,2015,1,7.95235467525358
567,Arganzuela,2015,2,11.0914434509912
568,Barajas,2015,2,9.81159318236514
569,Carabanchel,2015,2,8.46614641328889
570,Centro,2015,2,13.7423644522679
571,Chamartín,2015,2,12.492506743325
572,Chamberí,2015,2,13.4561621440105
573,Ciudad Lineal,2015,2,10.3890479044537
574,Fuencarral,2015,2,10.2440717798007
575,Hortaleza,2015,2,10.5613243292832
576,Latina,2015,2,8.65117388505769
577,Moncloa,2015,2,12.2699625500067
578,Moratalaz,2015,2,8.573126443507
579,Puente De Vallecas,2015,2,8.50060224967436
580,Retiro,2015,2,11.8242949688219
581,Salamanca,2015,2,13.7931855678698
582,San Blas,2015,2,9.26078055453838
583,Tetuan,2015,2,11.7904881171351
584,Usera,2015,2,8.77825610871313
585,Vicálvaro,2015,2,8.22023374750379
586,Villa De Vallecas,2015,2,8.75027055012285
587,Villaverde,2015,2,7.7548226751999
588,Arganzuela,2015,3,11.9380156405113
589,Barajas,2015,3,9.86860051116251
590,Carabanchel,2015,3,8.86931660868172
591,Centro,2015,3,14.5139395530953
592,Chamartín,2015,3,12.8845869554096
593,Chamberí,2015,3,14.052332408175
594,Ciudad Lineal,2015,3,10.70172824283
595,Fuencarral,2015,3,10.3914245783684
596,Hortaleza,2015,3,10.9961084502356
597,Latina,2015,3,8.7473460347336
598,Moncloa,2015,3,12.8635868008704
599,Moratalaz,2015,3,8.56360360542653
600,Puente De Vallecas,2015,3,8.67417738633088
601,Retiro,2015,3,12.6531302998364
602,Salamanca,2015,3,14.6716187208679
603,San Blas,2015,3,9.5884867750248
604,Tetuan,2015,3,12.466251590038
605,Usera,2015,3,9.59157819859993
606,Vicálvaro,2015,3,8.18627976106403
607,Villa De Vallecas,2015,3,8.75760436068289
608,Villaverde,2015,3,8.32610727200041
609,Arganzuela,2015,4,12.0146828365162
610,Barajas,2015,4,9.99225524550741
611,Carabanchel,2015,4,9.23260984312775
612,Centro,2015,4,15.2512195854152
613,Chamartín,2015,4,13.1682833928258
614,Chamberí,2015,4,14.6479765670695
615,Ciudad Lineal,2015,4,11.2788077351038
616,Fuencarral,2015,4,10.6611234741001
617,Hortaleza,2015,4,11.0483684050868
618,Latina,2015,4,9.27144336584987
619,Moncloa,2015,4,12.3132282958037
620,Moratalaz,2015,4,8.43330203077937
621,Puente De Vallecas,2015,4,8.98973007592361
622,Retiro,2015,4,13.1846677725839
623,Salamanca,2015,4,15.0481230132106
624,San Blas,2015,4,9.67613250255948
625,Tetuan,2015,4,12.5304514010362
626,Usera,2015,4,9.88686508578398
627,Vicálvaro,2015,4,8.67172217767219
628,Villa De Vallecas,2015,4,8.95258278308353
629,Villaverde,2015,4,8.87440523293855
630,Arganzuela,2016,1,12.1677147315025
631,Barajas,2016,1,10.2468199908617
632,Carabanchel,2016,1,8.94712271369279
633,Centro,2016,1,15.9119540612923
634,Chamartín,2016,1,13.5688040596715
635,Chamberí,2016,1,14.7625851652157
636,Ciudad Lineal,2016,1,11.2554782626014
637,Fuencarral,2016,1,10.6508967759469
638,Hortaleza,2016,1,10.8930366081855
639,Latina,2016,1,9.41550617196208
640,Moncloa,2016,1,12.8403103973192
641,Moratalaz,2016,1,8.88921339669341
642,Puente De Vallecas,2016,1,8.97881027809778
643,Retiro,2016,1,13.5165701392935
644,Salamanca,2016,1,15.6367050627137
645,San Blas,2016,1,9.64734247845529
646,Tetuan,2016,1,12.913108594216
647,Usera,2016,1,9.73781682917016
648,Vicálvaro,2016,1,8.36439523545268
